,section,section_id,section_sis_id,submitted,lecture_sections,lecture_reasons,lecture_alternate_section,hybrid_learning,video_materials,practice_problems,progress_check,comment_one_word,confused_topics,previous_exp,aps106_future_use,coding_future,python_setup,languages,variable_check,expression_check,operator_check,Person ID,Lecture,Tutorial,Practical,discipline,LEC0101_attended,LEC0102_attended,LEC0103_attended,lecture_assigned,cleaned_answer,polarity,lecture_count
0,"APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241","320323, 320149, 320262","APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241",2024-01-15 06:00:00 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",I was studying for a term test for this course,Other,Coding along with the instructor on my device,"LEC0102 - Moosavi Lecture Recording,LEC0103 - Beck Lecture Recording",No,I am up-to-date,good,,,,,,,,,,1010008741.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,good,1.9,3.0
1,"APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241","320224, 320111, 320285","APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241",2024-01-15 05:57:08 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)","The lectures are not an effective learning tool for me,Other",,Following the lecture by looking at the content and listening to the instructor,LEC0101 - Kinsella & Goodfellow Lecture Recording,No,I am up-to-date,,"I'm having issues installing Anaconda on my Chromebook, however I do have a desktop with VSCode at home that could download Anaconda onto it, I'm just unsure whether to keep trying with in person lectures on my chromebook, potentially use a browser IDE such as replit, or switch to just using the recordings and doing the work at home.",I can write code at an intermediate level,4,Yes,No,"Python,C/C++,Java",I completely understand,I completely understand,I completely understand,1010478966.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,nan,0.0,2.0
2,"APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-LEC0101-20241","320231, 320328, 320111","APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-LEC0101-20241",2024-01-15 05:55:41 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,Following the lecture by looking at the content and listening to the instructor,None,No,I am up-to-date,excited,,I can write some code but just the basics,4,Yes,Yes,Matlab,I completely understand,I completely understand,I completely understand,1009884895.0,LEC0101,TUT0108,PRA0103,Mechanical,LEC0101,False,False,True,excited,1.4,3.0
3,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0108-20241","320111, 320294, 320270","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0108-20241",2024-01-15 05:50:50 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Trying to solve the breakout problems",LEC0101 - Kinsella & Goodfellow Lecture Recording,No,I am up-to-date,I feel that is a course that will start becoming more difficult with the progress of time and that it requires us to practice a lot for ourselves.,-,I can write code at an intermediate level,5 (Always),Yes,Yes,C/C++,I completely understand,I completely understand,I somewhat understand,,,,,,LEC0101,False,False,False,i feel that is a course that will start becoming more difficult with the progress of time and that it requires us to practice a lot for ourselves ,0.30000000000000004,3.0
4,"APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241","320149, 320328, 320270","APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241",2024-01-15 05:29:00 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,I was working on assignments and/or projects for another course",None,No,I am up-to-date,Competent,None yet,I can write code at an intermediate level,4,Not sure,Yes,"Python,Matlab,Javascript,HTML/CSS",I completely understand,I completely understand,I completely understand,1010729703.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,competent,1.3,3.0
5,"APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241","320231, 320111, 320294","APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241",2024-01-15 05:28:03 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,Following the lecture by looking at the content and listening to the instructor,None,No,I am up-to-date,Relaxed,,I can write some code but just the basics,2,No,Yes,"Java,Other",I completely understand,I completely understand,I completely understand,1010162315.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,relaxed,2.2,3.0
6,"APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241","320253, 320129, 320315","APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241",2024-01-15 05:09:22 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,Following the lecture by looking at the content and listening to the instructor,LEC0102 - Moosavi Lecture Recording,Yes,I am starting to fall behind,I feel like I’m excited to improve my coding skills. ,None at the moment ,I can write code at an intermediate level,3,Yes,Haven't tried,"Python,Javascript,HTML/CSS",I completely understand,I completely understand,I completely understand,1010242131.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,i feel like i’m excited to improve my coding skills  ,4.8,3.0
7,"APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241","320276, 320111, 320239","APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241",2024-01-15 05:07:48 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",None,No,I am up-to-date,Intrigued ,,I can write some code but just the basics,4,Yes,Yes,"Python,Matlab",I completely understand,I somewhat understand,I completely understand,1010007813.0,LEC0101,TUT0101,PRA0104,Civil,LEC0101,False,False,True,intrigued ,0.0,3.0
8,"APS106H1-S-TUT0108-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241","320328, 320111, 320231","APS106H1-S-TUT0108-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241",2024-01-15 05:04:34 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",None,No,I am up-to-date,Confident,,I consider myself an advanced coder,4,Yes,Yes,"Python,C/C++,Java,HTML/CSS",I completely understand,I completely understand,I completely understand,1009831194.0,LEC0101,TUT0108,PRA0103,Mechanical,LEC0101,False,False,True,confident,2.2,3.0
9,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241","320111, 320294, 320231","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241",2024-01-15 05:04:24 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Distracted with non-academic activities",,No,I am up-to-date,Calm.,None,I can write some code but just the basics,4,Not sure,Yes,"Python,Matlab",I completely understand,I completely understand,I completely understand,1009896052.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,calm ,1.3,3.0
