,section,section_id,section_sis_id,submitted,lecture_sections,lecture_reasons,lecture_alternate_section,hybrid_learning,tutorial_sections,video_materials,practical_sections,practical_time_spent,practice_problems,progress_check,comment_one_word,confused_topics,feedback,pandas_feedback,Person ID,Lecture,Tutorial,Practical,discipline,LEC0101_attended,LEC0102_attended,LEC0103_attended,lecture_assigned,cleaned_answer,polarity,lecture_count
0,"APS106H1-S-TUT0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241","320328, 320149, 320270","APS106H1-S-TUT0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241",2024-04-08 05:00:00 UTC,,,,,,,,,,,,,,,1009135188.0,LEC0103,TUT0108,PRA0108,Materials,LEC0101,LEC0102,LEC0103,True,nan,0.0,0.0
1,"APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241","320239, 320111, 320299","APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241",2024-04-08 04:53:49 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",I was working on assignments and/or projects for another course,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,Distracted with non-academic activities,I was working on assignments for this course,I was working on assignments and/or projects for another course","Katia (TUT0104\, Monday\, 10 - 11 am)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am starting to fall behind,Confused,Panda,,It seems alright but I don’t understand it very well. ,1010277175.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,confused,-1.3,2.0
2,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0104-20241","320111, 320276, 320239","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0104-20241",2024-04-08 04:51:29 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am starting to fall behind,Stressed,pandas,,It is hard to wrap your head around,1010028541.0,LEC0101,TUT0101,PRA0104,Civil,LEC0101,False,False,True,stressed,-1.4,3.0
3,"APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241","320239, 320111, 320299","APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241",2024-04-08 04:40:06 UTC,I did not attend any lectures this week,Other,Other,,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I have fallen behind,Behind ,dictionaries ,,,1009767110.0,LEC0101,TUT0104,PRA0104,Mineral,False,False,False,False,behind ,0.0,0.0
4,"APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241","320262, 320323, 320149","APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241",2024-04-08 04:33:42 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",Other,Other,Coding along with the instructor on my device,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,2-4 hours,No,I am up-to-date,Fine,,,,1009907861.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,fine,0.8,3.0
5,"APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241, APS106H1-S-LEC0102-20241","320253, 320315, 320129","APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241, APS106H1-S-LEC0102-20241",2024-04-08 04:31:00 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm)",I was studying for a term test for another course,I prefer the teaching style in another section(s),I was working on assignments for this course,"Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am starting to fall behind,worried,"Pandas

 ",,Hard,1010442442.0,LEC0102,TUT0106,PRA0106,Mechanical,LEC0101,False,False,False,worried,-1.2,1.0
6,"APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241","320323, 320149, 320262","APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241",2024-04-08 04:30:33 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Minori (TUT0107\, Monday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,,I am starting to fall behind,okay,pandas,,it’s a bit confusing ,1010580809.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,okay,0.9,3.0
7,"APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241","320262, 320323, 320149","APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241",2024-04-08 04:29:45 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)","I was working on assignments and/or projects for another course,The lecture times make them challenging to regularly attend,The lecture room is not conducive to learning",I prefer the teaching style in another section(s),Coding along with the instructor on my device,"Minori (TUT0107\, Monday\, 2 - 3 pm)",TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,"PRA0104\, Thursday\, 12 - 2 pm",2-4 hours,No,I have fallen behind,nervous,"pandas, filetypes",:),i am lost,1009931870.0,LEC0103,TUT0107,PRA0107,Industrial,LEC0101,False,False,False,nervous,-1.1,2.0
8,"APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241","320231, 320294, 320111","APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241",2024-04-08 04:24:52 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0103\, Monday\, 1 - 3 pm",2-4 hours,Yes,I am up-to-date,Content,"Series, data extraction, looping",,Slides and visualizations are good to learn this package as they have different methods and syntax. A summary page is good.,1008788830.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,content,0.0,3.0
9,"APS106H1-S-LEC0103-20241, APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241","320149, 320315, 320253","APS106H1-S-LEC0103-20241, APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241",2024-04-08 04:20:24 UTC,I did not attend any lectures this week,"I was studying for a term test for another course,I was working on assignments and/or projects for another course",Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,"LEC0101 - Kinsella & Goodfellow Lecture Recording,The Daily Pickle","PRA0106\, Friday\, 3 - 5 pm",4-8 hours,Yes,I am up-to-date,Prepared,Classes,"With Final exams coming up, it would be a good studying tool to have access to answers from the past exams. ","It is interesting how we have access to packages created by individuals just like us, I enjoyed working around with it and learning more about how to use it. ",,,,,,False,False,False,False,prepared,0.9,0.0
