,section,section_id,section_sis_id,submitted,lecture_sections,lecture_reasons,lecture_alternate_section,hybrid_learning,tutorial_sections,video_materials,practical_sections,practical_time_spent,practice_problems,progress_check,comment_one_word,confused_topics,module_check,functions_check,returns_print_check,course_feedback,Person ID,Lecture,Tutorial,Practical,discipline,LEC0101_attended,LEC0102_attended,LEC0103_attended,lecture_assigned,cleaned_answer,polarity,lecture_count
0,"APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241","320307, 320129, 320246","APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241",2024-01-22 06:00:00 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm),Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,"I prefer the teaching style in another section(s),I prefer the room of the lectures in another section(s)","Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Amirhossein (TUT0105\, Tuesday\, 4 - 5 pm)",,"PRA0105\, Friday\, 3 - 5 pm",Less than 2 hour,Yes,I am up-to-date,Better,,,,,,1010708156.0,LEC0102,TUT0105,PRA0105,Mechanical,LEC0101,LEC0102,False,True,better,1.9,5.0
1,"APS106H1-S-PRA0107-20241, APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241","320262, 320307, 320129","APS106H1-S-PRA0107-20241, APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241",2024-01-22 06:00:00 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",Other,I prefer the scheduling of the lectures in another section(s),,"Minori (TUT0102\, Tuesday\, 3 - 4 pm)",,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am starting to fall behind,Neutral,,,,,,1008854018.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,neutral,0.0,3.0
2,"APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241","320276, 320111, 320231","APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241",2024-01-22 05:56:28 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,"PRA0103\, Monday\, 1 - 3 pm",Less than 2 hour,Yes,I am up-to-date,Content,,I completely understand,I completely understand,I completely understand,Pretty cool so far,1010066152.0,LEC0101,TUT0101,PRA0103,Mechanical,LEC0101,False,False,True,content,0.0,3.0
3,"APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241","320253, 320129, 320315","APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241",2024-01-22 05:39:43 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)","I was working on assignments for this course,The lecture room is not conducive to learning",,"Following the lecture by looking at the content and listening to the instructor,Trying to solve the breakout problems","Amirhossein (TUT0105\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,"PRA0106\, Friday\, 3 - 5 pm",Less than 2 hour,No,I am starting to fall behind,"Not too bad, I can feel the course starting to grow in difficulty. ",I don't quite understand the concept of calling.,I somewhat understand,I do not understand,I do not understand,I find that my lecture room has poor Wi-Fi.,1010260600.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,"not too bad, i can feel the course starting to grow in difficulty  ",-1.4,3.0
4,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241","320111, 320239, 320299","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241",2024-01-22 05:22:34 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",The lectures are not an effective learning tool for me,Other,"I was working on assignments for this course,Other","Katia (TUT0104\, Monday\, 10 - 11 am)",I did not use or plan to use any recorded material this week,"PRA0104\, Thursday\, 12 - 2 pm",Less than 2 hour,Yes,I am starting to fall behind,Behind,functions ,I somewhat understand,I somewhat understand,I somewhat understand,The tutorials and practicals are helpful. ,1009767110.0,LEC0101,TUT0104,PRA0104,Mineral,LEC0101,False,False,True,behind,0.0,2.0
5,"APS106H1-S-PRA0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241","320246, 320129, 320307","APS106H1-S-PRA0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241",2024-01-22 05:15:50 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,I was working on assignments and/or projects for another course",I did not attend any tutorials this week,"LEC0103 - Beck Lecture Recording,TUT0109 - Katia Tutorial Recording","PRA0105\, Friday\, 3 - 5 pm",Less than 2 hour,Yes,I am up-to-date,fine,none,I completely understand,I completely understand,I completely understand,,1009897649.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,fine,0.8,3.0
6,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0108-20241, APS106H1-S-TUT0103-20241","320111, 320270, 320294","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0108-20241, APS106H1-S-TUT0103-20241",2024-01-22 05:11:48 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0108\, Thursday\, 12 - 2 pm",Less than 2 hour,No,I am up-to-date,Motivated,-,I completely understand,I somewhat understand,I completely understand,"I think the lectures are helpful, particularly when the lecturers interact with students!",,,,,,LEC0101,False,False,False,motivated,2.0,1.0
7,"APS106H1-S-TUT0103-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241","320294, 320168, 320111","APS106H1-S-TUT0103-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241",2024-01-22 05:10:32 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Katia (TUT0109 Online\, Thursday\, 5 - 6 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0101\, Thursday\, 10 - 12 pm",Less than 2 hour,Yes,I am up-to-date,good,Jupyter notebooks,I completely understand,I completely understand,I completely understand,nothing,1009796829.0,LEC0101,TUT0103,PRA0101,Civil,LEC0101,False,False,True,good,1.9,3.0
8,"APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241","320299, 320239, 320111","APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241",2024-01-22 05:05:37 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Katia (TUT0104\, Monday\, 10 - 11 am)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0107\, Monday\, 9 - 11 am",Less than 2 hour,No,I am up-to-date,Getting complicated,functions,I somewhat understand,I somewhat understand,I somewhat understand,,1010488358.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,getting complicated,0.0,3.0
9,"APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241","320307, 320129, 320246","APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241",2024-01-22 05:03:37 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",I was studying for a term test for another course,,Other,"Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm),Amirhossein (TUT0105\, Tuesday\, 4 - 5 pm)",LEC0102 - Moosavi Lecture Recording,"PRA0102\, Wednesday\, 1 - 3 pm",Less than 2 hour,,I am up-to-date,,,I do not understand,I do not understand,I do not understand,,1010249893.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,nan,0.0,3.0
