,section,section_id,section_sis_id,submitted,lecture_sections,lecture_reasons,lecture_alternate_section,hybrid_learning,tutorial_sections,video_materials,practical_sections,practical_time_spent,practice_problems,progress_check,comment_one_word,confused_topics,function_check,boolean_check,if_else_check,course_feedback,Person ID,Lecture,Tutorial,Practical,discipline,LEC0101_attended,LEC0102_attended,LEC0103_attended,lecture_assigned,cleaned_answer,polarity,lecture_count
0,"APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241","320262, 320323, 320149","APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241",2024-01-29 05:56:46 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",I did not attend any tutorials this week,LEC0103 - Beck Lecture Recording,I did not attend any lab/practical sessions this week,2-4 hours,No,I am up-to-date,Fine,if-statements,I somewhat understand,I somewhat understand,I somewhat understand,,1009907861.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,fine,0.8,3.0
1,"APS106H1-S-LEC0102-20241, APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241","320129, 320253, 320315","APS106H1-S-LEC0102-20241, APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241",2024-01-29 05:47:51 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)","I was working on assignments and/or projects for another course,The lecture room is not conducive to learning",,"Following the lecture by looking at the content and listening to the instructor,Distracted with non-academic activities",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,"PRA0106\, Friday\, 3 - 5 pm",2-4 hours,No,I am starting to fall behind,Satisfied,Function constructions,I completely understand,I completely understand,I completely understand,The Uc building does not provide good wifi,1010724646.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,satisfied,1.8,3.0
2,"APS106H1-S-LEC0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241","320129, 320224, 320285","APS106H1-S-LEC0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241",2024-01-29 05:47:32 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",The lecture times make them challenging to regularly attend,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Minori (TUT0102\, Tuesday\, 3 - 4 pm)",I did not use or plan to use any recorded material this week,"PRA0102\, Wednesday\, 1 - 3 pm",2-4 hours,No,I am starting to fall behind,confused ,If else statements ,I somewhat understand,I completely understand,I completely understand,I’m starting to understand elif ,,,,,,False,LEC0102,False,False,confused ,0.0,2.0
3,"APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241","320253, 320129, 320315","APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241",2024-01-29 05:46:35 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",I was working on assignments and/or projects for another course,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,LEC0102 - Moosavi Lecture Recording,"PRA0106\, Friday\, 3 - 5 pm",2-4 hours,No,I have fallen behind,confused and overwhelmed,"I think I find the structure complicated because whenever I write codes I always have the right thought process but organize it wrong, and I always get the tabs confused and I don’t know which line should be spaced or indented, etc.",I do not understand,I somewhat understand,I completely understand,I think the practical section is good but I would prefer if the TA’s rotated around the room evenly and not stick around one area because it makes it difficult to ask a question when there are many people asking questions. (Some people don’t get equal attention is what I am trying to say),1010014155.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,confused and overwhelmed,-1.1,2.0
4,"APS106H1-S-PRA0107-20241, APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241","320262, 320307, 320129","APS106H1-S-PRA0107-20241, APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241",2024-01-29 05:45:06 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",Other,Other,Following the lecture by looking at the content and listening to the instructor,I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0105\, Friday\, 3 - 5 pm",Less than 2 hour,Yes,I am starting to fall behind,Alright ,Defining variables ,I somewhat understand,I somewhat understand,I somewhat understand,That’s about it ,1010161575.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,alright ,0.0,3.0
5,"APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241","320285, 320224, 320111","APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241",2024-01-29 05:38:31 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Trying to solve the breakout problems","Minori (TUT0102\, Tuesday\, 3 - 4 pm)",I did not use or plan to use any recorded material this week,"PRA0102\, Wednesday\, 1 - 3 pm",Less than 2 hour,Yes,I am up-to-date,Good. ,Nothing. ,I completely understand,I completely understand,I completely understand,Nothing. ,1010078951.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,good  ,1.9,3.0
6,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0108-20241, APS106H1-S-TUT0103-20241","320111, 320270, 320294","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0108-20241, APS106H1-S-TUT0103-20241",2024-01-29 05:37:05 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0104\, Thursday\, 12 - 2 pm",2-4 hours,Yes,I am up-to-date,Expecting the new exercises as I know this course will get progressively harder. ,-,I completely understand,I completely understand,I completely understand,"I think the lectures are really helpful so far, it will be interesting to do more short exercises during class!",,,,,,LEC0101,False,False,False,expecting the new exercises as i know this course will get progressively harder  ,0.0,1.0
7,"APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241","320307, 320129, 320246","APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241",2024-01-29 05:32:11 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",I was studying for a term test for another course,,I was studying for a term test for another course,"Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm),Amirhossein (TUT0105\, Tuesday\, 4 - 5 pm)",TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,"PRA0106\, Friday\, 3 - 5 pm",Less than 2 hour,Yes,,,,,I completely understand,I completely understand,,1010249893.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,nan,0.0,3.0
8,"APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241","320328, 320270, 320149","APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241",2024-01-29 05:30:50 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)","The lecture times make them challenging to regularly attend,The lecture room is not conducive to learning",I prefer the room of the lectures in another section(s),"I was working on assignments for this course,I was working on assignments and/or projects for another course","Katia (TUT0108\, Tuesday\, 9 - 10 am)",LEC0103 - Beck Lecture Recording,"PRA0101\, Thursday\, 10 - 12 pm",2-4 hours,Yes,I am up-to-date,good,good,I somewhat understand,I somewhat understand,I somewhat understand,good,1010082009.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,good,1.9,3.0
9,"APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241","320129, 320246, 320307","APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241",2024-01-29 05:24:32 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,I was working on assignments and/or projects for another course",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,Happy,,,I somewhat understand,I completely understand,,1010125384.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,happy,2.7,3.0
