,section,section_id,section_sis_id,submitted,lecture_sections,lecture_reasons,lecture_alternate_section,hybrid_learning,tutorial_sections,video_materials,practical_sections,practical_time_spent,practice_problems,progress_check,comment_one_word,confused_topics,midterm_review,function_return_check,while_loop_check,feedback,Person ID,Lecture,Tutorial,Practical,discipline,LEC0101_attended,LEC0102_attended,LEC0103_attended,lecture_assigned,cleaned_answer,polarity,lecture_count
0,"APS106H1-S-TUT0107-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0101-20241","320323, 320270, 320111","APS106H1-S-TUT0107-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0101-20241",2024-02-05 05:59:49 UTC,,I was working on assignments for this course,I prefer the scheduling of the lectures in another section(s),Following the lecture by looking at the content and listening to the instructor,"Rachel (TUT0103\, Wednesday\, 2 - 3 pm),Amirhossein (TUT0105\, Tuesday\, 4 - 5 pm)",LEC0103 - Beck Lecture Recording,"PRA0108\, Thursday\, 12 - 2 pm",2-4 hours,Yes,I am starting to fall behind,,,Not prepared at all,I somewhat understand,I completely understand,,,,,,,LEC0101,LEC0102,LEC0103,False,nan,0.0,0.0
1,"APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241","320149, 320323, 320262","APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241",2024-02-05 05:59:29 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,I prefer the teaching style in another section(s),Following the lecture by looking at the content and listening to the instructor,"Katia (TUT0104\, Monday\, 10 - 11 am),Katia (TUT0108\, Tuesday\, 9 - 10 am),Katia (TUT0109 Online\, Thursday\, 5 - 6 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0107\, Monday\, 9 - 11 am",4-8 hours,No,I am up-to-date,,,,I somewhat understand,I somewhat understand,,1009984304.0,LEC0103,TUT0107,PRA0107,Industrial,LEC0101,False,False,False,nan,0.0,3.0
2,"APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241","320285, 320224, 320111","APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241",2024-02-05 05:57:36 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",I was working on assignments and/or projects for another course,,"Following the lecture by looking at the content and listening to the instructor,I was working on assignments and/or projects for another course","Minori (TUT0102\, Tuesday\, 3 - 4 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0102\, Wednesday\, 1 - 3 pm",2-4 hours,No,I am up-to-date,So far so good. I understood majority of the material from last week. ,"I was struggling with While function. However, after several practices, I understood most of it.",Somewhat prepared,I completely understand,I completely understand,I am having fun with coding in APS106. ^^,1007937681.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,so far so good  i understood majority of the material from last week  ,1.9,3.0
3,"APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241","320276, 320111, 320168","APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241",2024-02-05 05:52:11 UTC,I did not attend any lectures this week,The lectures are not an effective learning tool for me,,,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,typical,,Very prepared,I completely understand,I completely understand,I appreciate that attendance to tuts and practicals are not mandatory,1010035105.0,LEC0101,TUT0101,PRA0101,Chemical,False,False,False,False,typical,0.0,0.0
4,"APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241","320307, 320129, 320246","APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241",2024-02-05 05:45:11 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",I was studying for a term test for another course,,,"Amirhossein (TUT0105\, Tuesday\, 4 - 5 pm)",LEC0102 - Moosavi Lecture Recording,"PRA0105\, Friday\, 3 - 5 pm",Less than 2 hour,,I am up-to-date,,,Very prepared,I completely understand,I completely understand,,1010249893.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,nan,0.0,3.0
5,"APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241","320253, 320129, 320315","APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241",2024-02-05 05:44:16 UTC,I did not attend any lectures this week,"I was studying for a term test for this course,I was working on assignments and/or projects for another course",,,I did not attend any tutorials this week,LEC0102 - Moosavi Lecture Recording,"PRA0105\, Friday\, 3 - 5 pm",Less than 2 hour,Yes,I am starting to fall behind,nervous,,Somewhat prepared,I completely understand,I somewhat understand,,1010708628.0,LEC0102,TUT0106,PRA0106,Mechanical,False,False,False,False,nervous,-1.1,0.0
6,"APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241","320129, 320246, 320307","APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241",2024-02-05 05:41:44 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",Other,I prefer the scheduling of the lectures in another section(s),Coding along with the instructor on my device,,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am starting to fall behind,Satisfied,While and For Loops,Somewhat prepared,I completely understand,I do not understand,,1010682995.0,LEC0102,TUT0105,PRA0105,Mechanical,LEC0101,False,False,False,satisfied,1.8,2.0
7,"APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241","320224, 320285, 320111","APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241",2024-02-05 05:41:38 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Trying to solve the breakout problems",I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,2-4 hours,Yes,I am starting to fall behind,Motivated,- while loops ,Not prepared at all,I somewhat understand,I somewhat understand,I found the midterm review session very helpful and the way the teaching team hosted it was very well done. ,1008897375.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,motivated,2.0,3.0
8,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241","320111, 320294, 320231","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241",2024-02-05 05:30:12 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)","I was studying for a term test for another course,I was working on assignments and/or projects for another course,The lecture times make them challenging to regularly attend","I prefer the scheduling of the lectures in another section(s),I prefer the room of the lectures in another section(s)","Trying to solve the breakout problems,Distracted with non-academic activities,I was studying for a term test for another course","Minori (TUT0102\, Tuesday\, 3 - 4 pm),Rachel (TUT0103\, Wednesday\, 2 - 3 pm),Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",LEC0102 - Moosavi Lecture Recording,"PRA0102\, Wednesday\, 1 - 3 pm,PRA0104\, Thursday\, 12 - 2 pm,PRA0105\, Friday\, 3 - 5 pm,PRA0110 (Online)\, Friday\, 6 - 8 pm",Less than 2 hour,No,I am up-to-date,Good,No,Very prepared,I completely understand,I completely understand,No,1010256027.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,LEC0102,False,True,good,1.9,3.0
9,"APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241","320224, 320285, 320111","APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241",2024-02-05 05:24:12 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,Distracted with non-academic activities","Minori (TUT0102\, Tuesday\, 3 - 4 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,great,none,Very prepared,I completely understand,I completely understand,"easy to follow, organized course",,,,,,LEC0101,False,False,False,great,3.1,3.0
