,section,section_id,section_sis_id,submitted,lecture_sections,lecture_reasons,lecture_alternate_section,hybrid_learning,tutorial_sections,video_materials,practical_sections,practice_problems,progress_check,comment_one_word,confused_topics,midterm_prepare,midterm_surprise,string_methods_check,string_indexing_check,feedback,Person ID,Lecture,Tutorial,Practical,discipline,LEC0101_attended,LEC0102_attended,LEC0103_attended,lecture_assigned,cleaned_answer,polarity,lecture_count
0,"APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241","320323, 320262, 320149","APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241",2024-02-12 05:59:01 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was working on assignments for this course",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,Anticipating ,,"Practice problems and past midterms, most useful were the past midterms. For notes I looked at lecture slides","I think everything was standard, but I was surprised at the amount of math based coding",I completely understand,I completely understand,,1009978721.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,anticipating ,0.0,3.0
1,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241","320111, 320294, 320231","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241",2024-02-12 05:57:45 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",The lecture times make them challenging to regularly attend,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Distracted with non-academic activities",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am starting to fall behind,Calm.,,"Lecture Notebooks, Youtube videos, Midterm Review, Labs.",Yeah the sequence question.,I somewhat understand,I somewhat understand,,1009896052.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,calm ,1.3,2.0
2,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241","320111, 320276, 320168","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241",2024-02-12 05:56:46 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",Other,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,hmm,,I found that the questions from our exam was much harder than the practice problems and past exams. It was not the unreasonable difficulty but not what I was expecting. I hope we can get similar difficulties as our resources from the future.,Difficulty compared to the practice problems,I completely understand,I somewhat understand,,1010440202.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,hmm,0.0,2.0
3,"APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241","320231, 320111, 320328","APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241",2024-02-12 05:54:40 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was studying for a term test for another course",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I have fallen behind,educated ,object oriented programming ,i mainly used the lecture slides and the jupiter notebook notes,"yes, all of it",I somewhat understand,I somewhat understand,,1009910946.0,LEC0101,TUT0108,PRA0103,Mechanical,LEC0101,False,False,True,educated ,0.0,3.0
4,"APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241","320239, 320299, 320111","APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241",2024-02-12 05:54:02 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am up-to-date,,,,,I completely understand,I completely understand,,1010082688.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,nan,0.0,3.0
5,"APS106H1-S-LEC0103-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0105-20241","320149, 320299, 320246","APS106H1-S-LEC0103-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0105-20241",2024-02-12 05:43:31 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Katia (TUT0104\, Monday\, 10 - 11 am)",TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,Anxious about the test ,Just logic and pattern recognition ,"Past term tests, weekly practice problems, office hours, tutorial slides/recordings",I had difficulty understanding the math question,I somewhat understand,I somewhat understand,,,,,,,False,False,LEC0103,False,anxious about the test ,-1.0,3.0
6,"APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241","320315, 320253, 320129","APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241",2024-02-12 05:42:26 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,,Following the lecture by looking at the content and listening to the instructor,"Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",,I did not attend any lab/practical sessions this week,No,I am up-to-date,Comfortable,none,Did 2 term test,Nope,I completely understand,I completely understand,i have none,1010442442.0,LEC0102,TUT0106,PRA0106,Mechanical,LEC0101,False,False,False,comfortable,2.3,1.0
7,"APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241","320285, 320111, 320224","APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241",2024-02-12 05:34:15 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,Other,"Minori (TUT0102\, Tuesday\, 3 - 4 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,good,I  have no problems,past exam,no,I completely understand,I completely understand,good,1009920640.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,good,1.9,3.0
8,"APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241","320224, 320285, 320111","APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241",2024-02-12 05:32:46 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Trying to solve the breakout problems,Distracted with non-academic activities",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am starting to fall behind,Rough,,Did past midterms. Reviewed concepts I did poorly on. Past midterms were the most helpful resource.,"Both questions had us code calculus series', which was harder than the 2023 midterm.",I somewhat understand,I somewhat understand,,,,,,,LEC0101,False,False,False,rough,0.0,3.0
9,"APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241","320270, 320149, 320328","APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241",2024-02-12 05:30:56 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm)",I was studying for a term test for another course,I prefer the teaching style in another section(s),Following the lecture by looking at the content and listening to the instructor,"Katia (TUT0108\, Tuesday\, 9 - 10 am)",LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,No,I am starting to fall behind,hard,while loop,ｂｙ　ｌｏｏｋｉｎｇ　ａｔ　ｎｏｔｅｓ　ａｎｄ　ｐａｓｔ　ｅｘａｍｓ；　ｓｌｉｄｅｓ　ａｒｅ　ｍｏｓｔ　ｈｅｌｐｆｕｌ,ａｌｍｏｓｔ　ｅｖｅｒｙｔｈｉｎｇ，　ｍｕｃｈ　ｈａｒｄｅｒ　ｔｈａｎ　ｌａｓｔ　ｙｅａｒ,I somewhat understand,I somewhat understand,ｎｏｔｈｉｎｇ　ｅｌｓｅ,1009086917.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,hard,-0.4,2.0
