,section,section_id,section_sis_id,submitted,lecture_sections,lecture_reasons,lecture_alternate_section,hybrid_learning,tutorial_sections,video_materials,practical_sections,practice_problems,progress_check,comment_one_word,confused_topics,for_loop_check,feedback,Person ID,Lecture,Tutorial,Practical,discipline,LEC0101_attended,LEC0102_attended,LEC0103_attended,lecture_assigned,cleaned_answer,polarity,lecture_count
0,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0108-20241, APS106H1-S-TUT0103-20241","320111, 320270, 320294","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0108-20241, APS106H1-S-TUT0103-20241",2024-02-19 06:00:00 UTC,,,,,,,,,,,,,,,,,,,LEC0101,LEC0102,LEC0103,False,nan,0.0,0.0
1,"APS106H1-S-LEC0102-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0101-20241","320129, 320294, 320168","APS106H1-S-LEC0102-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0101-20241",2024-02-19 06:00:00 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm)",,,,,,,,,,,,,,,,,,False,LEC0102,False,False,nan,0.0,1.0
2,"APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241","320285, 320111, 320224","APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241",2024-02-19 05:43:00 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm)",I was studying for a term test for this course,I prefer the teaching style in another section(s),Following the lecture by looking at the content and listening to the instructor,"Katia (TUT0108\, Tuesday\, 9 - 10 am)",LEC0102 - Moosavi Lecture Recording,"PRA0102\, Wednesday\, 1 - 3 pm",Yes,I am up-to-date,GG,GG,I somewhat understand,GG,1008911055.0,LEC0101,TUT0102,PRA0102,Chemical,False,LEC0102,False,False,gg,1.2,1.0
3,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241","320111, 320231, 320294","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241",2024-02-19 05:30:55 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",I was working on assignments for this course,I prefer the room of the lectures in another section(s),Coding along with the instructor on my device,"Katia (TUT0104\, Monday\, 10 - 11 am)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0109 (Online)\, Tuesday\, 6 - 8 pm",No,I have fallen behind,，,。,I somewhat understand,。,1009951483.0,LEC0101,TUT0103,PRA0103,Mechanical,LEC0101,False,False,True,，,0.0,1.0
4,"APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241","320328, 320270, 320149","APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241",2024-02-19 05:25:27 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Katia (TUT0108\, Tuesday\, 9 - 10 am)",I did not use or plan to use any recorded material this week,"PRA0108\, Thursday\, 12 - 2 pm",Yes,I am up-to-date,good,problem-solving,I completely understand,none,1009909789.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,good,1.9,3.0
5,"APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241","320224, 320285, 320111","APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241",2024-02-19 05:22:19 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",I was working on assignments and/or projects for another course,,Following the lecture by looking at the content and listening to the instructor,I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,Yes,,Advanced,writing functions ,I somewhat understand,the recorded videos are very helpful when reviewing for the tests ,1008897375.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,advanced,1.0,2.0
6,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241","320111, 320323, 320262","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241",2024-02-19 05:19:24 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)","I was studying for a term test for another course,I was working on assignments for this course",Other,"Trying to solve the breakout problems,I was studying for a term test for another course,I was working on assignments for this course","Minori (TUT0107\, Monday\, 2 - 3 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,,,I somewhat understand,,1009807327.0,LEC0101,TUT0107,PRA0107,Industrial,LEC0101,False,False,True,nan,0.0,3.0
7,"APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241","320149, 320323, 320262","APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241",2024-02-19 05:16:03 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,I prefer the scheduling of the lectures in another section(s),Coding along with the instructor on my device,"Katia (TUT0104\, Monday\, 10 - 11 am)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am up-to-date,ok,ok,I somewhat understand,no,1009984304.0,LEC0103,TUT0107,PRA0107,Industrial,LEC0101,False,False,False,ok,1.4,3.0
8,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241","320111, 320299, 320239","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241",2024-02-19 05:02:08 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm)","I was working on assignments and/or projects for another course,The lecture times make them challenging to regularly attend",Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,Distracted with non-academic activities","Katia (TUT0104\, Monday\, 10 - 11 am)",LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,Yes,I am starting to fall behind,confusedo,concept of opp,I completely understand,,1010256820.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,confusedo,0.0,1.0
9,"APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241","320129, 320246, 320307","APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241",2024-02-19 05:01:54 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm)","I was studying for a term test for another course,I was working on assignments and/or projects for another course",,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,Distracted with non-academic activities",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am starting to fall behind,Overconfident,,I somewhat understand,,1010173857.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,overconfident,0.0,1.0
10,"APS106H1-S-LEC0102-20241, APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241","320129, 320323, 320262","APS106H1-S-LEC0102-20241, APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241",2024-02-19 04:59:46 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was studying for a term test for this course,I was studying for a term test for another course,I was working on assignments for this course","Minori (TUT0107\, Monday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,Not too bad.,For loops.,I somewhat understand,"I think the course is starting to become slightly more challenging, so I will probably start going over online lectures too.",1009823498.0,LEC0101,TUT0107,PRA0107,Industrial,False,LEC0102,False,False,not too bad ,-2.5,3.0
11,"APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241","320253, 320129, 320315","APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241",2024-02-19 04:57:25 UTC,I did not attend any lectures this week,I was studying for a term test for another course,,,I did not attend any tutorials this week,LEC0102 - Moosavi Lecture Recording,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,mid,,I completely understand,,1010708628.0,LEC0102,TUT0106,PRA0106,Mechanical,False,False,False,False,mid,0.0,0.0
12,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241","320111, 320328, 320270","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241",2024-02-19 04:55:50 UTC,I did not attend any lectures this week,"I was studying for a term test for another course,I was working on assignments and/or projects for another course",Other,Other,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,"PRA0108\, Thursday\, 12 - 2 pm",No,I am starting to fall behind,Alright ,,I somewhat understand,,1010093505.0,LEC0101,TUT0108,PRA0108,Materials,False,False,False,False,alright ,0.0,0.0
13,"APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241","320129, 320246, 320307","APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241",2024-02-19 04:50:14 UTC,I did not attend any lectures this week,"I was studying for a term test for another course,I was working on assignments and/or projects for another course",,,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,Happy,installing python,I completely understand,,1010125384.0,LEC0102,TUT0105,PRA0105,Mechanical,False,False,False,False,happy,2.7,0.0
14,"APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241","320224, 320285, 320111","APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241",2024-02-19 04:48:23 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,Following the lecture by looking at the content and listening to the instructor,"Minori (TUT0102\, Tuesday\, 3 - 4 pm)",I did not use or plan to use any recorded material this week,"PRA0102\, Wednesday\, 1 - 3 pm",No,I am starting to fall behind,Good. ,File. ,I somewhat understand,Good.,1010078951.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,good  ,1.9,3.0
15,"APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241","320262, 320323, 320149","APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241",2024-02-19 04:37:53 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Minori (TUT0107\, Monday\, 2 - 3 pm)",TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,"PRA0107\, Monday\, 9 - 11 am",Yes,I am up-to-date,good,,I somewhat understand,,1010086498.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,good,1.9,3.0
16,"APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241","320285, 320111, 320224","APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241",2024-02-19 04:33:00 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was working on assignments and/or projects for another course","Minori (TUT0102\, Tuesday\, 3 - 4 pm)",I did not use or plan to use any recorded material this week,"PRA0102\, Wednesday\, 1 - 3 pm",No,I am starting to fall behind,Tired,when to use/apply function stubs,I somewhat understand,zyBooks is an amazing resource that I will extensively use this reading week.,1010143792.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,tired,-1.9,3.0
17,"APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241","320224, 320111, 320285","APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241",2024-02-19 04:31:47 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",I was working on assignments and/or projects for another course,Other,I was working on assignments and/or projects for another course,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I have fallen behind,Challenging,When to use function stubs,I somewhat understand,The lectures are interactive,1010369272.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,challenging,0.6,3.0
18,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241","320111, 320262, 320323","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241",2024-02-19 04:28:37 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Minori (TUT0107\, Monday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0107\, Monday\, 9 - 11 am",Yes,I am up-to-date,Great,String objects,I somewhat understand,,1009810769.0,LEC0101,TUT0107,PRA0107,Industrial,LEC0101,False,False,True,great,3.1,3.0
19,"APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241","320276, 320168, 320111","APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241",2024-02-19 04:26:51 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,I was working on assignments for this course,I was working on assignments and/or projects for another course",I did not attend any tutorials this week,TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,I did not attend any lab/practical sessions this week,Yes,I have fallen behind,timid,"for loops, slicing",I somewhat understand,Interesting course but requires much practice,1008771170.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,timid,-1.0,3.0
20,"APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241","320299, 320111, 320239","APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241",2024-02-19 04:25:20 UTC,I did not attend any lectures this week,Other,Other,I was working on assignments and/or projects for another course,I did not attend any tutorials this week,TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,I did not attend any lab/practical sessions this week,No,I have fallen behind,Confused,,I do not understand,,1010041205.0,LEC0101,TUT0104,PRA0104,Mineral,False,False,False,False,confused,-1.3,0.0
21,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241","320111, 320285, 320224","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241",2024-02-19 04:21:14 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",I was working on assignments and/or projects for another course,,Following the lecture by looking at the content and listening to the instructor,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I have fallen behind,yikes,what is even an index string,I do not understand,,1010430240.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,yikes,0.0,2.0
22,"APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241","320168, 320111, 320285","APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241",2024-02-19 04:19:23 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,"PRA0101\, Thursday\, 10 - 12 pm",No,I am starting to fall behind,fun,arithmetic,I somewhat understand,,1010009660.0,LEC0101,TUT0102,PRA0101,Chemical,LEC0101,False,False,True,fun,2.3,2.0
23,"APS106H1-S-TUT0103-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241","320294, 320168, 320111","APS106H1-S-TUT0103-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241",2024-02-19 04:18:35 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Katia (TUT0109 Online\, Thursday\, 5 - 6 pm)",TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,"PRA0109 (Online)\, Tuesday\, 6 - 8 pm",Yes,I am up-to-date,good,nothing,I somewhat understand,nothing,1009796829.0,LEC0101,TUT0103,PRA0101,Civil,LEC0101,False,False,True,good,1.9,3.0
24,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241","320111, 320239, 320299","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241",2024-02-19 04:17:29 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",Other,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Katia (TUT0104\, Monday\, 10 - 11 am)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I have fallen behind,Challenging,"loops (while & for), string indexing",I somewhat understand,Do more mentimeter,1010316686.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,challenging,0.6,2.0
25,"APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241","320299, 320111, 320224","APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241",2024-02-19 04:16:00 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",Other,,"Coding along with the instructor on my device,I was working on assignments and/or projects for another course",,,,No,I have fallen behind,confused,while loops,I somewhat understand,,,,,,,LEC0101,False,False,False,confused,-1.3,2.0
26,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241","320149, 320262, 320323","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241",2024-02-19 04:14:21 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",I was studying for a term test for another course,"I prefer the teaching style in another section(s),I prefer the room of the lectures in another section(s)","Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",I did not attend any tutorials this week,TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,I did not attend any lab/practical sessions this week,No,I have fallen behind,difficult ,strings,I somewhat understand,:)),1009931870.0,LEC0103,TUT0107,PRA0107,Industrial,LEC0101,False,False,False,difficult ,0.0,2.0
27,"APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241","320276, 320111, 320168","APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241",2024-02-19 04:10:44 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)","I was studying for a term test for another course,I was working on assignments and/or projects for another course",,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am starting to fall behind,Excited,For loops,I somewhat understand,I think the course is going well thus far.,1009821187.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,excited,1.4,1.0
28,"APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241","320129, 320315, 320253","APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241",2024-02-19 04:09:50 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,"Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,Complex,Creating a class,I somewhat understand,Eagerly waiting for the term test marks ,1010400193.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,complex,0.0,3.0
29,"APS106H1-S-PRA0108-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0103-20241","320270, 320129, 320294","APS106H1-S-PRA0108-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0103-20241",2024-02-19 04:09:36 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)","The lectures are not an effective learning tool for me,I was working on assignments for this course,Other","I prefer the scheduling of the lectures in another section(s),I prefer the room of the lectures in another section(s)","Coding along with the instructor on my device,Trying to solve the breakout problems,I was working on assignments for this course",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am up-to-date,Satisfied,,I completely understand,"This week the content started including topics which I was not already familiar with, this made the lectures more interesting and enjoyable to go to.",1009903669.0,LEC0102,TUT0103,PRA0108,Track-One,False,LEC0102,False,True,satisfied,1.8,3.0
